,"('Portfolio_Index', '1')","('DR', '')"
2001-12-19,102.1740523,1.6638943743968202
2001-12-20,102.0650035,1.6589957268390245
2001-12-21,101.9815245,1.6639639614131874
2001-12-24,101.7973258,1.6644356563829938
2001-12-26,101.7158174,1.6656615407467443
2001-12-27,102.4032535,1.667985058577427
2001-12-28,102.4647027,1.6593595573247262
2001-12-31,102.77600749999999,1.6642132983904199
2002-02-01,102.4326719,1.671270086417514
2002-03-01,102.83399240000001,1.6705751347542175
2002-04-01,103.0963904,1.6610995887601752
2002-07-01,103.3326571,1.66423501297614
2002-08-01,103.09878020000001,1.6645258830703193
2002-09-01,103.0788295,1.6608803971907151
2002-10-01,103.4084793,1.6561750186478361
2002-11-01,103.5725649,1.6557276352443753
2002-01-14,103.5357522,1.6527318213760185
2002-01-15,103.6821735,1.646462182991315
2002-01-16,103.3663552,1.643035149558581
2002-01-17,103.1428945,1.6299962318814176
2002-01-18,103.26489529999999,1.6321232004378297
2002-01-22,103.07821750000001,1.6319654227631035
2002-01-23,103.0061617,1.6317573636838312
2002-01-24,103.0689101,1.6359494252990252
2002-01-25,102.85031690000001,1.6376073846796064
2002-01-28,102.868996,1.63704182779356
2002-01-29,102.888244,1.6299312235053551
2002-01-30,102.66303420000001,1.6358878383561712
2002-01-31,102.69397370000002,1.6368309485384926
2002-01-02,102.8510478,1.6301128709264139
2002-04-02,102.7351052,1.630645705426061
2002-05-02,102.3205619,1.6319242885501586
2002-06-02,102.0733998,1.6392383482880666
2002-07-02,102.0964288,1.6396005223786818
2002-08-02,102.7483563,1.6653206803880336
2002-11-02,102.78207459999999,1.647574671778733
2002-12-02,102.5845115,1.6519560611380306
2002-02-13,102.684027,1.6483418986123626
2002-02-14,102.9453747,1.6492675675312571
2002-02-15,103.1971292,1.6457631327452114
2002-02-19,102.6869449,1.653793540390386
2002-02-20,102.6627441,1.6436024940975358
2002-02-21,102.7517075,1.6452541185812168
2002-02-22,102.9508209,1.655987826281841
2002-02-25,103.1281737,1.6760529104517732
2002-02-26,103.0352423,1.6729541857918286
2002-02-27,103.6817502,1.67629184155413
2002-02-28,103.5329899,1.6696482161947939
2002-01-03,103.4093752,1.6709889524265769
2002-04-03,104.0358319,1.6818227347149817
2002-05-03,103.9445621,1.678426539565343
2002-06-03,104.02420359999999,1.6967507153665495
2002-07-03,103.62525450000001,1.6981370341382584
2002-08-03,103.2684781,1.7032791237857265
2002-11-03,103.36752220000001,1.7064913889673432
2002-12-03,103.1053859,1.7098820814329372
2002-03-13,103.11173029999999,1.71012876708702
2002-03-14,102.63022509999999,1.7125363787995578
2002-03-15,103.0169375,1.7168974859093689
2002-03-18,103.2076345,1.7136939623425773
2002-03-19,103.27679350000001,1.7138374877446951
2002-03-20,102.7264354,1.715209318249297
2002-03-21,102.7828941,1.707971840132065
2002-03-22,102.6437422,1.7074560793041997
2002-03-25,102.2564267,1.7077276153928251
2002-03-26,102.59592409999999,1.705519413476892
2002-03-27,102.66687990000001,1.7052599470173169
2002-03-28,102.5388493,1.7143406143536202
2002-01-04,102.5234268,1.716415334942374
2002-02-04,102.81522659999999,1.7160798069544094
2002-03-04,103.1477314,1.7187943028142454
2002-04-04,103.0883977,1.7156568964751597
2002-05-04,103.362258,1.7134460070175697
2002-08-04,103.1060655,1.7124280909538487
2002-09-04,103.1102006,1.7071648725421709
2002-10-04,103.34118769999999,1.7087105159128158
2002-11-04,103.0134311,1.7113974956955664
2002-12-04,103.26851309999999,1.7128699583024143
2002-04-15,103.4564811,1.7109501633654653
2002-04-16,103.7423753,1.712698530121052
2002-04-17,103.7682319,1.717313885781272
2002-04-18,103.8477275,1.7179553754004286
2002-04-19,103.98737879999999,1.7259981943850582
2002-04-22,103.7540812,1.726286087148134
2002-04-23,103.6663781,1.7253208492931933
2002-04-24,103.963734,1.7211516242358724
2002-04-25,104.03929790000001,1.7277369093095176
2002-04-26,103.86291329999999,1.729499565048235
2002-04-29,103.6342646,1.7370172791095806
2002-04-30,103.7989024,1.729740888530919
2002-01-05,103.9733662,1.7317281115563012
2002-02-05,103.62157009999999,1.7297108989006331
2002-03-05,103.8807595,1.72649992995936
2002-06-05,103.49872509999999,1.7304316159101214
2002-07-05,103.2839854,1.7276491565682082
2002-08-05,103.40930329999999,1.7252256276264273
2002-09-05,103.5630859,1.7408540323683044
2002-10-05,103.5796,1.7433636981903153
2002-05-13,103.4978507,1.7460416831395555
2002-05-14,103.2867719,1.751804617648819
2002-05-15,103.6091273,1.756499982676802
2002-05-16,104.070911,1.75560585509703
2002-05-17,104.05201020000001,1.7487673317390928
2002-05-20,104.1412098,1.7517514517287804
2002-05-21,104.2224458,1.7587989383349982
2002-05-22,104.543817,1.7623071089862827
2002-05-23,104.4806032,1.7659667758362936
2002-05-24,104.47369549999999,1.766175536082437
2002-05-28,104.4371718,1.787646806032897
2002-05-29,104.6225012,1.7896951770100324
2002-05-30,104.7982305,1.789683485977319
2002-05-31,104.71808659999999,1.7904189071321162
2002-03-06,104.6217517,1.7829112440316255
2002-04-06,104.51192490000001,1.7893101211017715
2002-05-06,104.4313087,1.7910856627105047
2002-06-06,104.360105,1.7935221216850334
2002-07-06,104.07701329999999,1.793191373502866
2002-10-06,104.12044399999999,1.7900772913756566
2002-11-06,104.2042213,1.7880227488529004
2002-12-06,104.2201603,1.7866575884025009
2002-06-13,104.09566579999999,1.789172440248546
2002-06-14,104.06445529999999,1.789298292375699
2002-06-17,104.4971842,1.794818598363632
2002-06-18,104.6059188,1.794963546814936
2002-06-19,104.8092259,1.7940011843292782
2002-06-20,104.1960941,1.8038042910360965
2002-06-21,104.3116151,1.787399055588688
2002-06-24,103.470614,1.789013455835353
2002-06-25,103.4339964,1.785288570244931
2002-06-26,103.575161,1.7881194434406733
2002-06-27,103.46566870000001,1.8201456649571082
2002-06-28,103.6287233,1.8258361626501616
2002-01-07,103.3483858,1.8236637919902412
2002-02-07,103.0250938,1.8197940229277916
2002-03-07,102.83648670000001,1.8234693108296596
2002-05-07,103.1699753,1.7681415513955985
2002-08-07,103.4527978,1.7962071583634487
2002-09-07,103.7054267,1.7963585658551562
2002-10-07,103.5053724,1.8330255592145208
2002-11-07,102.992266,1.848825538843619
2002-12-07,103.2126489,1.8498172348705244
2002-07-15,102.59810259999999,1.8552985228968175
2002-07-16,102.1291215,1.8443257859469449
2002-07-17,102.66682469999999,1.8424207607644838
2002-07-18,102.8492505,1.8369772061186491
2002-07-19,102.218834,1.8452637961688638
2002-07-22,101.92872390000001,1.8425308341168172
2002-07-23,101.3336317,1.860752559278648
2002-07-24,101.5758898,1.852066409696457
2002-07-25,101.83859079999999,1.8758872873570398
2002-07-26,101.7003842,1.8773354018495174
2002-07-29,101.7913569,1.8839813346588439
2002-07-30,101.9557693,1.9272605687170692
2002-07-31,102.55256990000001,1.9211899565889725
2002-01-08,102.461045,1.9119736294029759
2002-02-08,102.658805,1.9270302855928991
2002-05-08,102.2535223,1.9376371677920778
2002-06-08,102.1045239,1.9322234180501707
2002-07-08,102.54422170000001,1.9445622977705606
2002-08-08,102.8182303,1.9393909304736243
2002-09-08,103.5297143,1.9437260938737184
2002-12-08,103.4731161,1.9247708313989533
2002-08-13,103.95593120000001,1.9287449212656005
2002-08-14,104.1395387,1.931212099002665
2002-08-15,104.12468170000001,1.9398435020076827
2002-08-16,103.73331359999999,1.9450219693983382
2002-08-19,104.2619098,1.9401791401735413
2002-08-20,104.7857691,1.9413140110190015
2002-08-21,104.9921465,1.944055332516285
2002-08-22,104.9452279,1.9458076508461573
2002-08-23,104.98187759999999,1.9598718693125174
2002-08-26,105.05244569999999,1.9432969812065144
2002-08-27,104.91906000000002,1.9481553816602744
2002-08-28,104.56679129999999,1.9494455329747482
2002-08-29,104.7185989,1.9539215828635343
2002-08-30,104.8560689,1.957429431937728
2002-03-09,104.6080358,1.953941988188817
2002-04-09,104.8378798,1.9780346963981068
2002-05-09,104.98418400000001,1.9962210187914873
2002-06-09,104.7998858,1.9978637507227637
2002-09-09,104.719921,2.0278106897995793
2002-10-09,105.23978770000001,2.0360756650838363
2002-11-09,105.2256967,2.03430507494462
2002-12-09,105.1226693,2.0350894285468604
2002-09-13,105.2178862,2.0442911792262257
2002-09-16,105.25967279999999,2.0496299427729747
2002-09-17,105.2366376,2.059092693901738
2002-09-18,104.9110439,2.08842887588777
2002-09-19,104.8667031,2.0848698414272357
2002-09-20,104.73774399999999,2.0910361426598154
2002-09-23,104.50246120000001,2.105575651061888
2002-09-24,104.387688,2.0826277569579448
2002-09-25,104.2462846,2.0828687345560843
2002-09-26,104.7642805,2.1196340916959087
2002-09-27,105.09548290000001,2.1097345195802197
2002-09-30,104.90381629999999,2.120167635442124
2002-01-10,104.86321409999998,2.1302863998127277
2002-02-10,104.96042620000001,2.187639100409342
2002-03-10,104.68152140000001,2.199218155781064
2002-04-10,104.24589559999998,2.191141948164626
2002-07-10,103.8494439,2.1930515813108875
2002-08-10,103.4271713,2.1907601173761178
2002-09-10,103.2193417,2.190941256553029
2002-10-10,103.37795320000001,2.1913837273296544
2002-11-10,103.97769050000001,2.2001929676872094
2002-10-14,104.06338520000001,2.1943877282822886
2002-10-15,103.82216,2.217525506182593
2002-10-16,103.4366365,2.280298102829127
2002-10-17,103.3714925,2.274000955416107
2002-10-18,103.5674573,2.287595872798719
2002-10-21,103.2212824,2.294139101542007
2002-10-22,103.08142959999999,2.300468327338996
2002-10-23,103.12065140000001,2.300566563289059
2002-10-24,103.5303235,2.305712306597357
2002-10-25,104.16540649999999,2.3003855892856953
2002-10-28,104.34064520000001,2.283689758770437
2002-10-29,104.52801059999999,2.2836859633313886
2002-10-30,104.81254150000001,2.2957002267197857
2002-10-31,105.56601140000001,2.2931165543266476
2002-01-11,105.20558799999999,2.274890663121902
2002-04-11,105.5454304,2.2751768639366743
2002-05-11,105.590631,2.274508530528389
2002-06-11,105.8583945,2.278413183597757
2002-07-11,106.4505132,2.2746694903522227
2002-08-11,106.4077256,2.2770297900985947
2002-11-11,106.30915120000002,2.2802483334596375
2002-12-11,105.99681670000001,2.2815895093297884
2002-11-13,106.14573859999999,2.2732323576261737
2002-11-14,105.6909009,2.2735495545326145
2002-11-15,106.12587420000001,2.278661921636299
2002-11-18,106.38599920000001,2.270356962159505
2002-11-19,106.2586337,2.2670603222881187
2002-11-20,106.0527508,2.273992396489422
2002-11-21,106.353923,2.280725972304047
2002-11-22,106.13821409999998,2.2847313917056122
2002-11-25,106.03390320000001,2.3170194727604967
2002-11-26,106.19560039999999,2.312826241266087
2002-11-27,106.03505259999999,2.323787955565289
2002-11-29,106.1707728,2.341779730897176
2002-02-12,106.1905544,2.3449476429540286
2002-03-12,105.918623,2.345544271913038
2002-04-12,105.97362549999998,2.355879328755097
2002-05-12,105.9056883,2.355091734228534
2002-06-12,106.16304650000001,2.3537832094061675
